"","CollecName","CollecInits","IDNo.","County","State","Date.d.m.y.","Genus","Epithet","Abbrev.","Sex","TotalL","TailL","FootL","EarL","Mass","Skin.","Skull.","Other.info","Skull.Skin.or.Skull.Tag.Together","Catalogue..","year"
"1","A.D.French","ADF",1,"Chittenden","VT",1997-02-13,"Peromyscus","leucopus","PELE","F",159,73,20,17,"","X","X","UVM lab colony","",NA,1997
"2","A.E.Smith","AES",1,"Chittenden","VT",1997-03-09,"Peromyscus","leucopus","PELE","M",176,90,19,12,"","X","X","UVM lab colony","",NA,1997
"3","A.E.VanSweringen","AEV",1,"","",1980-06-19,"Peromyscus","maniculatus","PEMA","M",165,75,16,17,"","","X","UVM lab colony; teaching collection","",NA,1980
"4","A.E.VanSweringen","AEV",2,"","",1980-06-20,"Peromyscus","maniculatus","PEMA","M",138,58,18,7,"","","X","UVM lab colony; teaching collection","",NA,1980
"5","A.E.VanSweringen","AEV",3,"","",1980-07-03,"Peromyscus","maniculatus","PEMA","F",150,65,18,15,"","","X","UVM lab colony; teaching collection","",NA,1980
"6","A.J.Bates","AJB",1,"Chittenden","VT",1997-03-06,"Peromyscus","leucopus","PELE","M",149,79,20,15,"","X","X","UVM lab colony","",NA,1997
"7","A.J.Bates","AJB",2,"Chittenden","VT",1997-04-24,"Peromyscus","leucopus","PELE","F",157,74,79,17,"","X","X","UVM lab colony","",NA,1997
"8","A.J.Bates","AJB",3,"Chittenden","VT",1997-04-25,"Peromyscus","leucopus","PELE","M",162,80,20,10.5,"","X","X","UVM lab colony","",NA,1997
"9","A.J.Bates","AJB",4,"Chittenden","VT",1997-04-26,"Peromyscus","leucopus","PELE","M",180,90,21.5,15,"","X","X","UVM lab colony","",NA,1997
"10","A.J.Bates","AJB",5,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","F",158,69,23,17,"","X","X","UVM lab colony","",NA,1997
"11","A.J.Bates","AJB",6,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","F",162,85,23,13,"","X","X","UVM lab colony","",NA,1997
"12","A.J.Bates","AJB",7,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","F",135,71,20,13,"","X","X","UVM lab colony","",NA,1997
"13","A.J.Bates","AJB",8,"Chittenden","VT",1997-05-02,"Peromyscus","leucopus","PELE","M",185,100,15,11,"","X","X","UVM lab colony","",NA,1997
"14","A.J.Bates","AJB",9,"Chittenden","VT",1997-05-02,"Peromyscus","leucopus","PELE","M",146,72,20,19,"","X","X","UVM lab colony","",NA,1997
"15","A.M.Durfee","AMD",1,"","",1994-09-13,"Peromyscus","leucopus","PELE","M",166,75,19,14,"","X","X","UVM lab colony 7-3","",NA,1994
